car, good, apr, shuttle, oil
space power, ford, etc, point
edu, use, option, put, each
engine, toronto, driving, things, engines
writes, internet, earth, means, news
nasa, mission, want, moon, temperature
don, time, station, design, long
insurance, number, lot, lots, love
money, pat, single, great, group
speed, information, isn, stick, history
once, market, marketing, matter, mind
make, high, low, sho, side
even, side, group, standard, hard
important, group, start, standard, hard
day, info, haven, state, hear
such, mass, made, opinion, months
back, shifter, book, months, lot
article, henry, people, two, place
find, ship, great, ground, guess
cars, bill, solar, spencer, john
