shuttle,make,two,want,used
writes,space,mission,back,oil
don,henry,ford,high,use
days,temperature,incoming,spend,stop
cars,hst,insurance,science,day
power,system,large,spencer,needed
edu,car,long,another,steering
article,find,hand,group,hard
nasa,etc,come,earth,miles
service,interesting,hard,haven,head
people,sky,uci,side,haven
interesting,hardware,hear,size,side
pat,once,lot,lots,main
number,matter,mazda,means,mind
front,radar,subject,fast,features
launch,kind,hear,sometimes,honda
engine,interesting,group,state,hand
good,driving,night,list,local
apr,quite,object,plan,performance
time,gif,object,oms,number
