car, want, book, price, auto
cars, small, manual, dealer, power
henry, toronto, high, spencer, temperature
oil, service, come, change, diesels
edu, writes, article, infiniti, lexus
edu, writes, apr, article, eliot
space, world, nasa, sci, idea
bill, george, moon, support, howell
good, insurance, geico, place, two
station, launch, option, shuttle, redesign
hst, mission, shuttle, design, pat
such, mars, part, system, spacecraft
don, make, once, use, read
internet, information, science, blah, astronomy
car, ford, driving, probe, nice
sky, light, uiuc, people, rights
edu, gov, gif, uci, ics
engine, quite, turbo, big, makes
clutch, car, shifter, sho, never
earth, etc, oort, day, question
