engine, power, turbo, doesn, brake
edu, gif, uci, ics, incoming
oil, time, service, change, come
henry, toronto, spencer, writes, high
station, shuttle, launch, option, redesign
cars, small, manual, find, nice
writes, edu, find, oort, system
bill, back, moon, time, two
edu, george, mustang, people, long
mission, hst, solar, pat, shuttle
space, nasa, idea, world, gov
good, insurance, geico, mail, blah
diesels, put, cars, emissions, matter
writes, article, edu, apr, don
car, ford, probe, even, dealer
sky, point, light, uiuc, rights
make, article, cost, money, want
large, etc, don, day, question
clutch, shifter, sho, don, shift
internet, part, science, mars, project
